EXMPC,,,,,,
WAC,,,,,,
G01,,,,,,
440,,,,,,
25,,,,,,
nm,,,,,,
Angular Dependence,,,,,,
Wavelengths,0,8,16,24,32,40
450.53,0.93002,0.73581,0.05774,-0.00574,-0.00742,-0.00772
450.89,0.91092,0.65531,0.0363,-0.00591,-0.00731,-0.00762
451.26,0.88015,0.56585,0.02234,-0.0054,-0.00712,-0.00729
451.62,0.8351,0.47065,0.01265,-0.00596,-0.00748,-0.00723
451.99,0.77526,0.37752,0.00683,-0.00601,-0.00754,-0.00705
452.36,0.69964,0.28933,0.00319,-0.00586,-0.00765,-0.00698
452.72,0.61113,0.21242,0.00072,-0.00603,-0.00751,-0.00686
453.09,0.51552,0.14887,-0.00099,-0.00634,-0.00747,-0.00699
453.45,0.41709,0.09989,-0.00192,-0.00625,-0.00748,-0.00696
453.82,0.32516,0.06411,-0.00299,-0.00669,-0.00751,-0.00715
454.18,0.24228,0.03986,-0.00369,-0.00628,-0.00727,-0.00737
454.55,0.17342,0.02426,-0.00418,-0.00643,-0.00698,-0.0072
454.92,0.11887,0.01461,-0.00438,-0.00636,-0.00674,-0.00689
455.28,0.07834,0.00836,-0.00439,-0.00643,-0.00652,-0.00706
455.65,0.04987,0.005,-0.00432,-0.00615,-0.00626,-0.00669
456.01,0.03106,0.00282,-0.00436,-0.00601,-0.00593,-0.00648
456.38,0.01934,0.00159,-0.00417,-0.00572,-0.00561,-0.00629
456.74,0.01179,0.00021,-0.00445,-0.00599,-0.00583,-0.00628
457.11,0.00724,-0.00069,-0.00447,-0.00572,-0.00582,-0.00601
457.47,0.00438,-0.00151,-0.00438,-0.00565,-0.00571,-0.00596
457.84,0.00264,-0.0019,-0.00451,-0.00543,-0.00582,-0.00586
458.2,0.00136,-0.00239,-0.00473,-0.00547,-0.00592,-0.00583
458.57,0.00032,-0.00273,-0.00468,-0.00551,-0.00603,-0.00589
458.93,-0.00057,-0.00304,-0.00472,-0.00551,-0.00577,-0.00575
459.3,-0.00094,-0.00305,-0.00437,-0.0051,-0.00532,-0.00541
459.66,-0.00133,-0.00334,-0.00412,-0.00496,-0.00517,-0.00568
460.03,-0.0015,-0.00328,-0.00419,-0.00505,-0.00517,-0.00577
460.39,-0.00183,-0.00341,-0.00406,-0.00502,-0.00516,-0.00567
460.76,-0.00206,-0.00361,-0.004,-0.00506,-0.00508,-0.00564
461.12,-0.00239,-0.00385,-0.00422,-0.00514,-0.00512,-0.00558
461.49,-0.00228,-0.00388,-0.00411,-0.0051,-0.00516,-0.00565
461.85,-0.00216,-0.00388,-0.00412,-0.00527,-0.00512,-0.0057
462.22,-0.00243,-0.00387,-0.00461,-0.00562,-0.00532,-0.00563
462.58,-0.00273,-0.00373,-0.00459,-0.00557,-0.00506,-0.00545
462.95,-0.00286,-0.00381,-0.00481,-0.0056,-0.00512,-0.0054
463.31,-0.00284,-0.00369,-0.00478,-0.00546,-0.005,-0.00533
463.68,-0.00287,-0.00359,-0.00481,-0.0053,-0.00501,-0.0053
464.04,-0.00293,-0.00348,-0.0047,-0.00511,-0.005,-0.00515
464.41,-0.00307,-0.00344,-0.00483,-0.00506,-0.00516,-0.00521
464.77,-0.00279,-0.00334,-0.00448,-0.0047,-0.00491,-0.00497
465.13,-0.00254,-0.00338,-0.00443,-0.00449,-0.00485,-0.00486
465.5,-0.00241,-0.00303,-0.00417,-0.00413,-0.00454,-0.00472
465.86,-0.00233,-0.00301,-0.00402,-0.00401,-0.00443,-0.00476
466.23,-0.00222,-0.00293,-0.00375,-0.00387,-0.00416,-0.00445
466.59,-0.00223,-0.00303,-0.00394,-0.00399,-0.00416,-0.0042
466.96,-0.00212,-0.00293,-0.00378,-0.00382,-0.00397,-0.00377
467.32,-0.00214,-0.00283,-0.00363,-0.0038,-0.0038,-0.00357
467.68,-0.00202,-0.00275,-0.00352,-0.00365,-0.00372,-0.00332
468.05,-0.00204,-0.00284,-0.00358,-0.00395,-0.00379,-0.00322
468.41,-0.00215,-0.00292,-0.00362,-0.00393,-0.00379,-0.00309
468.78,-0.00207,-0.00293,-0.00359,-0.00406,-0.00362,-0.00314
469.14,-0.00199,-0.00293,-0.00354,-0.00394,-0.00347,-0.00329
469.5,-0.0022,-0.00308,-0.00359,-0.00395,-0.00344,-0.00331
469.87,-0.00221,-0.00305,-0.00353,-0.00384,-0.00344,-0.00324
470.23,-0.00219,-0.00311,-0.00342,-0.00379,-0.00338,-0.00317
470.6,-0.00219,-0.00312,-0.00338,-0.00369,-0.00336,-0.00304
470.96,-0.0022,-0.00297,-0.00323,-0.00363,-0.00333,-0.00296
471.32,-0.00224,-0.0031,-0.00343,-0.00361,-0.00346,-0.00299
471.69,-0.00235,-0.00311,-0.00347,-0.00367,-0.0037,-0.00297
472.05,-0.00215,-0.00289,-0.00328,-0.00367,-0.00362,-0.00291
472.42,-0.00219,-0.00297,-0.00342,-0.00377,-0.00371,-0.00299
472.78,-0.00218,-0.00277,-0.00337,-0.00358,-0.00359,-0.0029
473.14,-0.00215,-0.00276,-0.00329,-0.00344,-0.00348,-0.0029
473.51,-0.00205,-0.0028,-0.00331,-0.00334,-0.00331,-0.00285
473.87,-0.00198,-0.00271,-0.00314,-0.00324,-0.00322,-0.00283
474.23,-0.00185,-0.00253,-0.00299,-0.00312,-0.00301,-0.00272
474.6,-0.0019,-0.00271,-0.0031,-0.00313,-0.00295,-0.00277
474.96,-0.0019,-0.00258,-0.00306,-0.00315,-0.0027,-0.00275
475.32,-0.00198,-0.00271,-0.00304,-0.0033,-0.00282,-0.00281
475.69,-0.00183,-0.0026,-0.00301,-0.00318,-0.00274,-0.00266
476.05,-0.00182,-0.00246,-0.00292,-0.0031,-0.00267,-0.00254
476.41,-0.00174,-0.00243,-0.00278,-0.00294,-0.00261,-0.00238
476.78,-0.00176,-0.0025,-0.00275,-0.0028,-0.00263,-0.00227
477.14,-0.00167,-0.00231,-0.00253,-0.00252,-0.00248,-0.00206
477.5,-0.00149,-0.00231,-0.00236,-0.00228,-0.00243,-0.00188
477.87,-0.00142,-0.00226,-0.00231,-0.00209,-0.00218,-0.00176
478.23,-0.00152,-0.00225,-0.00223,-0.00205,-0.00206,-0.00177
478.59,-0.00136,-0.00214,-0.00211,-0.00193,-0.00195,-0.00162
478.96,-0.0014,-0.00199,-0.00209,-0.00191,-0.00189,-0.00153
479.32,-0.00142,-0.00192,-0.002,-0.002,-0.00182,-0.00154
479.68,-0.00143,-0.00198,-0.00211,-0.0021,-0.00186,-0.00159
480.04,-0.00148,-0.00192,-0.00209,-0.0021,-0.00187,-0.00159
480.41,-0.00138,-0.00189,-0.00201,-0.00211,-0.0019,-0.00156
480.77,-0.00134,-0.00185,-0.00201,-0.00213,-0.00196,-0.00159
481.13,-0.00149,-0.00196,-0.00216,-0.00225,-0.00207,-0.00174
481.5,-0.00141,-0.00195,-0.00219,-0.00226,-0.00199,-0.00173
481.86,-0.00113,-0.00175,-0.00191,-0.00198,-0.00165,-0.00144
482.22,-0.00109,-0.00161,-0.00179,-0.00182,-0.00165,-0.00141
482.58,-0.0011,-0.00162,-0.00179,-0.00179,-0.00159,-0.00137
482.95,-0.0012,-0.00162,-0.00179,-0.00183,-0.00151,-0.00137
483.31,-0.00117,-0.00159,-0.00173,-0.00175,-0.00143,-0.00135
483.67,-0.00122,-0.00155,-0.00169,-0.00169,-0.0014,-0.0013
484.03,-0.00115,-0.00154,-0.0016,-0.00157,-0.00136,-0.00116
484.4,-0.00131,-0.00169,-0.00179,-0.00175,-0.00148,-0.0013
484.76,-0.00131,-0.00165,-0.0018,-0.00179,-0.00141,-0.00121
485.12,-0.00131,-0.00164,-0.00179,-0.00174,-0.00146,-0.00123
485.48,-0.00127,-0.00161,-0.00171,-0.00175,-0.00145,-0.00118
485.85,-0.00114,-0.00152,-0.00166,-0.0017,-0.00143,-0.00101
