AUPE,,,
HRC,,,
blank,,,
NA,,,
NA,,,
nm,,,
Hoya-C5000 IR Cut,,,
Wavelengths,0,8,16
1038,0.07795931,0.07795931,0.07795931
1039,0.078459518,0.078459518,0.078459518
1040,0.078959726,0.078959726,0.078959726
1041,0.079459934,0.079459934,0.079459934
1042,0.079960143,0.079960143,0.079960143
1043,0.080460351,0.080460351,0.080460351
1044,0.080960559,0.080960559,0.080960559
1045,0.081460768,0.081460768,0.081460768
1046,0.081960976,0.081960976,0.081960976
1047,0.082461184,0.082461184,0.082461184
1048,0.082961392,0.082961392,0.082961392
1049,0.083461601,0.083461601,0.083461601
1050,0.083961809,0.083961809,0.083961809
1051,0.084462017,0.084462017,0.084462017
1052,0.084962225,0.084962225,0.084962225
1053,0.085466996,0.085466996,0.085466996
1054,0.086085612,0.086085612,0.086085612
1055,0.086704228,0.086704228,0.086704228
