PanCam_CT Measured ~2018 Aber. Uni.,,,,,,,,
Wavelength,MultiSpec,White,Red,Yellow,Turquoise,Blue,Light_Gray,Dark_Gray
426.43,22.421,81.142,8.337,8.073,17.096,18.694,15.442,6.104
426.8,23.378,81.286,8.353,8.099,17.134,18.558,15.543,6.147
427.17,24.229,81.288,8.316,8.103,17.191,18.445,15.564,6.111
427.53,24.837,81.383,8.336,8.071,17.238,18.332,15.583,6.187
427.9,25.37,81.368,8.36,8.039,17.26,18.195,15.6,6.211
428.26,25.655,81.408,8.348,8.089,17.222,18.094,15.625,6.249
428.63,25.801,81.496,8.331,8.114,17.233,17.978,15.682,6.258
429,25.932,81.594,8.309,8.094,17.276,17.897,15.712,6.221
429.36,25.988,81.633,8.276,8.096,17.371,17.77,15.726,6.231
429.73,25.936,81.71,8.294,8.097,17.447,17.645,15.693,6.24
430.09,26,81.696,8.248,8.058,17.483,17.523,15.696,6.232
430.46,25.963,81.839,8.231,8.116,17.518,17.405,15.753,6.207
430.82,26.016,81.874,8.194,8.097,17.643,17.288,15.807,6.165
431.19,26.077,81.874,8.188,8.078,17.687,17.173,15.731,6.186
431.56,26.088,81.946,8.16,8.087,17.696,17.033,15.713,6.224
431.92,26.118,82.011,8.193,8.039,17.735,16.912,15.648,6.212
432.29,26.233,82.099,8.213,8.023,17.737,16.818,15.658,6.213
432.65,26.271,82.199,8.204,8.014,17.755,16.701,15.691,6.206
433.02,26.331,82.249,8.199,7.963,17.828,16.576,15.586,6.218
433.38,26.388,82.315,8.205,7.99,17.849,16.441,15.569,6.232
433.75,26.48,82.492,8.219,8.023,17.905,16.338,15.585,6.183
434.11,26.512,82.527,8.205,7.999,17.992,16.234,15.595,6.144
434.48,26.538,82.598,8.206,8.004,18.036,16.095,15.634,6.102
434.84,26.616,82.653,8.188,7.994,18.117,15.954,15.659,6.1
435.21,26.673,82.753,8.163,8.002,18.196,15.859,15.624,6.11
435.57,26.611,82.789,8.169,7.996,18.186,15.735,15.667,6.121
435.94,26.552,82.812,8.194,7.952,18.216,15.634,15.64,6.123
436.3,26.455,82.776,8.185,7.931,18.287,15.471,15.625,6.136
436.67,26.362,82.783,8.178,7.97,18.308,15.416,15.639,6.159
437.03,26.239,82.793,8.128,7.94,18.33,15.368,15.609,6.207
437.4,26.039,82.809,8.1,7.946,18.323,15.297,15.629,6.163
437.76,25.813,82.844,8.134,7.973,18.329,15.206,15.621,6.148
438.13,25.652,82.848,8.125,7.954,18.364,15.17,15.598,6.115
438.49,25.389,82.912,8.142,7.999,18.393,15.088,15.578,6.124
438.86,25.052,82.988,8.124,8.028,18.377,15.048,15.61,6.099
439.22,24.695,83.052,8.147,7.996,18.402,14.903,15.559,6.089
439.58,24.277,83.101,8.17,8.005,18.46,14.768,15.565,6.099
439.95,23.752,83.144,8.22,8.004,18.542,14.651,15.527,6.184
440.31,23.176,83.135,8.223,7.971,18.581,14.553,15.478,6.204
440.68,22.505,83.231,8.227,7.981,18.621,14.48,15.459,6.228
441.04,21.736,83.241,8.213,7.924,18.672,14.396,15.472,6.223
441.41,20.887,83.336,8.21,7.882,18.741,14.321,15.427,6.242
441.77,19.928,83.346,8.189,7.87,18.789,14.262,15.476,6.254
442.14,18.897,83.451,8.148,7.882,18.755,14.213,15.498,6.253
442.5,17.771,83.457,8.096,7.838,18.754,14.152,15.493,6.191
442.86,16.658,83.537,8.098,7.858,18.775,14.096,15.55,6.141
443.23,15.538,83.553,8.089,7.854,18.854,14.01,15.596,6.144
443.59,14.519,83.618,8.058,7.889,18.886,13.922,15.638,6.147
443.96,13.589,83.574,8.018,7.866,18.909,13.829,15.714,6.171
444.32,12.809,83.692,8.07,7.896,18.934,13.732,15.7,6.146
444.68,12.165,83.721,8.083,7.874,19.02,13.622,15.71,6.117
445.05,11.74,83.783,8.123,7.933,19.042,13.529,15.754,6.123
445.41,11.37,83.867,8.109,7.913,19.087,13.411,15.775,6.154
445.78,11.125,83.869,8.102,7.957,19.097,13.299,15.804,6.127
446.14,10.998,83.886,8.095,7.931,19.157,13.217,15.775,6.147
446.5,10.874,83.943,8.144,7.952,19.176,13.12,15.784,6.117
446.87,10.774,83.897,8.114,7.917,19.205,13.011,15.822,6.125
447.23,10.713,83.891,8.147,7.914,19.229,12.947,15.831,6.122
447.59,10.674,83.965,8.104,7.871,19.3,12.823,15.844,6.131
447.96,10.675,83.986,8.098,7.869,19.337,12.733,15.902,6.154
448.32,10.667,84.024,8.115,7.836,19.37,12.59,15.939,6.176
448.68,10.601,84.03,8.143,7.833,19.395,12.462,16.027,6.173
449.05,10.595,84.035,8.102,7.805,19.455,12.377,16.054,6.161
449.41,10.621,84.068,8.103,7.837,19.498,12.31,16.093,6.154
449.78,10.614,84.079,8.091,7.824,19.534,12.179,16.125,6.173
450.14,10.601,84.069,8.083,7.839,19.57,12.085,16.161,6.201
450.5,10.562,84.008,8.105,7.807,19.599,11.994,16.158,6.18
450.86,10.571,84.045,8.095,7.815,19.626,11.938,16.163,6.136
451.23,10.562,84.058,8.08,7.81,19.657,11.862,16.179,6.128
451.59,10.548,84.142,8.11,7.811,19.711,11.778,16.181,6.146
451.95,10.527,84.181,8.097,7.784,19.725,11.645,16.194,6.165
452.32,10.496,84.254,8.103,7.809,19.782,11.572,16.212,6.165
452.68,10.488,84.262,8.147,7.792,19.776,11.508,16.24,6.137
453.04,10.486,84.367,8.123,7.818,19.85,11.418,16.287,6.12
453.41,10.468,84.394,8.112,7.787,19.902,11.362,16.306,6.154
453.77,10.483,84.529,8.098,7.772,19.906,11.291,16.316,6.139
454.13,10.505,84.527,8.079,7.769,19.933,11.17,16.399,6.122
454.5,10.509,84.537,8.076,7.771,20.014,11.108,16.428,6.122
454.86,10.519,84.542,8.04,7.753,20.057,11.047,16.481,6.143
455.22,10.524,84.646,8.028,7.768,20.124,10.974,16.475,6.13
455.58,10.561,84.59,8.053,7.758,20.156,10.879,16.475,6.153
455.95,10.555,84.603,8.08,7.768,20.203,10.75,16.495,6.128
456.31,10.586,84.605,8.088,7.8,20.236,10.65,16.474,6.148
456.67,10.59,84.64,8.097,7.796,20.3,10.599,16.45,6.179
457.03,10.574,84.688,8.09,7.761,20.329,10.55,16.432,6.212
457.4,10.597,84.748,8.099,7.744,20.363,10.471,16.431,6.202
457.76,10.607,84.732,8.06,7.739,20.43,10.395,16.49,6.218
458.12,10.606,84.82,8.061,7.729,20.466,10.332,16.52,6.208
458.48,10.616,84.846,8.049,7.735,20.487,10.273,16.541,6.226
458.85,10.605,84.818,8.055,7.714,20.578,10.217,16.607,6.212
459.21,10.604,84.828,8.041,7.72,20.573,10.138,16.613,6.191
459.57,10.61,84.927,8.043,7.739,20.633,10.039,16.628,6.164
459.93,10.619,84.929,8.052,7.777,20.677,9.942,16.645,6.164
460.29,10.64,84.952,8.071,7.736,20.726,9.849,16.628,6.174
460.66,10.664,84.976,8.033,7.735,20.774,9.794,16.638,6.184
461.02,10.719,85.01,8.023,7.74,20.853,9.728,16.653,6.196
461.38,10.8,85.009,8.009,7.716,20.868,9.646,16.634,6.223
