MacBeth_ColorChecker,,,,,,,,,,,,,,,,,,,,,,,,
Wavelength,Dark skin,Light skin,Blue sky,Foliage,Blue flower,Bluish green,Orange,Purplish blue,Moderate red,Purple,Yellow green,Orange yellow,Blue,Green,Red,Yellow,Magenta,Cyan,White,Neutral 8,Neutral 6.5,Neutral 5,Neutral 3.5,Black
388.91,8.333,17.248,17.712,6.794,19.355,20.45,9.793,14.653,13.313,11.566,12.478,11.389,9.002,7.288,5.637,13.826,16.285,11.568,31.23,23.519,21.083,13.033,8.075,3.484
389.29,8.291,17.154,17.847,6.667,19.533,20.418,9.753,14.808,13.425,11.898,12.407,11.081,9.3,7.132,5.793,13.846,16.539,11.667,31.288,23.687,21.339,13.435,8.128,3.426
389.66,8.106,17.036,17.799,6.437,19.484,20.348,9.334,14.764,13.405,11.651,12.341,10.842,9.527,6.941,5.642,13.831,16.374,11.919,31.188,23.931,21.406,13.665,8.399,3.697
390.03,7.966,17.223,17.895,6.445,19.866,20.64,9.317,14.805,13.513,11.658,12.015,10.755,9.696,6.804,5.683,13.612,16.603,12.284,31.273,24.012,21.784,14.089,8.696,3.808
390.4,7.654,17.356,17.837,6.446,20.085,20.605,9.091,14.77,13.637,11.805,11.715,10.83,9.998,6.84,5.667,13.46,16.79,12.404,31.414,24.301,21.856,14.307,8.726,3.991
390.77,7.531,17.416,18.014,6.553,20.217,20.692,9.007,14.748,13.69,12.077,11.425,10.477,10.014,6.608,5.45,13.503,16.995,12.533,31.516,24.751,21.764,14.334,9.013,3.93
391.14,7.548,17.436,18.228,6.825,20.699,20.874,9.159,14.973,13.793,12.335,11.273,10.585,10.299,6.88,5.555,13.338,17.421,12.717,31.9,25.236,22.036,14.405,9.119,3.819
391.52,7.28,17.499,18.258,6.86,20.838,21.01,8.926,15.155,13.818,12.434,11.11,10.301,10.389,6.667,5.403,13.446,17.612,12.729,31.792,25.402,22.306,14.37,9.286,3.83
391.89,7.329,17.59,18.285,6.927,20.855,21.067,8.772,15.028,13.885,12.477,10.835,10.22,10.395,6.469,5.259,13.309,17.972,12.876,31.958,25.795,22.584,14.503,9.29,3.693
392.26,7.18,17.382,18.622,6.947,21.182,21.263,8.392,15.153,13.669,12.518,10.693,10.075,10.462,6.183,5.146,13.004,18.217,13.169,32.215,26.215,23.081,14.929,9.411,3.607
392.63,7.093,17.72,18.852,6.902,21.658,21.56,8.312,15.256,13.847,12.547,10.444,10.034,10.58,6.163,5.015,13.003,18.49,13.434,32.608,26.602,23.538,15.105,9.372,3.553
393,7.406,17.99,19.402,7.003,22.068,21.989,8.626,15.568,13.889,12.917,10.548,10.233,11.015,6.2,4.968,12.898,19.09,13.869,32.995,27.238,23.852,15.244,9.357,3.432
393.37,7.222,18.201,19.77,7.037,22.49,22.345,8.445,15.894,14.027,12.965,10.564,10.329,11.385,6.316,4.898,12.842,19.475,14.172,33.351,27.967,24.108,15.354,9.401,3.556
393.75,6.994,18.306,20.318,7.028,22.902,22.684,8.538,16.074,14.102,13.192,10.437,10.265,11.452,6.444,4.768,12.626,19.954,14.321,33.944,28.359,24.557,15.537,9.181,3.474
